student_id,student_name,email,batch_year,department,phone_number
1,Guillema Keatley,gkeatley0@addthis.com,2022,Computer Science,3699386949
2,Henryetta Indgs,hindgs1@wired.com,2021,Computer Science,7155003937
3,Valery Anderton,vanderton2@tinypic.com,2022,cse,9238260267
4,Fionnula Abele,fabele3@nationalgeographic.com,2024,CSE,5625326161
5,Tyler Polotti,tpolotti4@google.nl,2022,Computer science,7531693759
6,Faith Pie,fpie5@earthlink.net,2022,CSE,5833196478
7,Odo Oddy,ooddy6@vinaora.com,2024,CSE,8927993852
8,Dorothea Armfield,darmfield7@homestead.com,2022,CSE,3969297332
9,Finley Werrit,fwerrit8@github.io,2024,Computer Science,8432330390
10,Maxy Tumber,mtumber9@github.io,2024,CS,7219106328
11,Lu Greenhouse,lgreenhousea@paginegialle.it,2022,Computer Science,6837718080
12,Junina Greenley,jgreenleyb@nationalgeographic.com,2024,cse,
13,Hulda Manns,hmannsc@biglobe.ne.jp,2023,CSE,
14,Morgan Petran,mpetrand@flavors.me,2023,cse,5283624481
15,Billi Tendahl,btendahle@cmu.edu,2024,cse,2949743117
16,Zarah Treadgall,ztreadgallf@tripadvisor.com,2023,CSE,8931615393
17,Morganne Ruppelin,mruppeling@house.gov,2024,cse,3094075006
18,Evelyn Regler,ereglerh@umn.edu,2021,CSE,2603775928
19,Jada Sims,,2023,Computer science,6375874297
20,Kippie Barrott,kbarrottj@gizmodo.com,2021,Computer Science,9899627218
21,Gallard Christofides,,2021,Computer science,
22,Anneliese McKennan,amckennanl@nih.gov,2023,CSE,2456988886
23,Odell Laguerre,olaguerrem@samsung.com,2022,CSE,
24,Roseann Lillywhite,rlillywhiten@acquirethisname.com,2022,CSE,6602000651
25,Wang Barbosa,wbarbosao@nasa.gov,2024,CS,3547846233
26,Lynn Imbrey,limbreyp@sakura.ne.jp,2022,Computer science,7814475425
27,Brigham Galey,bgaleyq@phpbb.com,2021,CSE,1787022270
28,Erica McBrearty,,2023,CS,4869603511
29,Melvin Jahnisch,mjahnischs@latimes.com,2021,Computer Science,
30,Joane Van Hove,jvant@boston.com,2021,CSE,2129226653
31,Teador Rigardeau,trigardeauu@sciencedirect.com,2022,CSE,2049945556
32,Igor Brittle,,2024,Computer Science,
33,Marisa Pizer,mpizerw@liveinternet.ru,2021,Computer Science,7497681713
34,Cleveland Hardstaff,chardstaffx@examiner.com,2022,cse,9079525369
35,Gideon Battin,gbattiny@foxnews.com,2024,CSE,
36,Dulcy Mabbitt,,2024,cse,7672340523
37,Zonnya Robathon,zrobathon10@dailymail.co.uk,2023,Computer science,
38,Malena Dermot,mdermot11@wix.com,2022,CS,3516693123
39,Knox Harower,kharower12@gravatar.com,2024,Computer Science,2602906718
40,Leopold Isaacson,lisaacson13@geocities.com,2021,CSE,1046595208
41,Shannah Southward,ssouthward14@ameblo.jp,2022,cse,9422648935
42,Curr Moorrud,cmoorrud15@parallels.com,2021,CS,9281169798
43,Theodore Dedam,tdedam16@imdb.com,2023,CSE,1572388874
44,Deb Hurdedge,dhurdedge17@hatena.ne.jp,2021,CS,6946176704
45,Dionisio McBeath,dmcbeath18@uol.com.br,2023,CS,6012597228
46,Anne Listone,alistone19@msu.edu,2022,Computer Science,2792057583
47,Crystie Toothill,,2023,cse,6517381298
48,Melly Collisson,mcollisson1b@ezinearticles.com,2022,CS,2827514486
49,Maitilde Kightly,mkightly1c@boston.com,2021,Computer Science,8308233817
50,Shanna Saye,ssaye1d@usatoday.com,2023,Computer science,
51,Estrellita Mongan,emongan1e@wisc.edu,2024,cse,5865443086
52,Lynnelle Rizzolo,,2022,cse,8854353144
53,Aron Castillon,acastillon1g@woothemes.com,2024,cse,
54,Dieter Annear,dannear1h@comcast.net,2024,Computer science,
55,Reuven McIlwrath,rmcilwrath1i@oaic.gov.au,2024,CSE,
56,Allina Elstow,aelstow1j@ucoz.com,2022,CS,8862523530
57,Nadeen Hallihane,,2023,Computer Science,3711571171
58,Benedetto Silverlock,bsilverlock1l@icq.com,2023,CSE,2472385633
59,Ardra Scarth,ascarth1m@timesonline.co.uk,2023,Computer science,
60,Gregor Glede,gglede1n@multiply.com,2021,CS,4452333535
61,Petronia Stut,pstut1o@wikispaces.com,2022,Computer science,8242593984
62,Aeriell Redhole,aredhole1p@kickstarter.com,2024,cse,5285539149
63,Demeter Dunlop,ddunlop1q@alibaba.com,2024,Computer science,5363293031
64,Crosby Goolden,,2022,Computer Science,9804046726
65,Pincus Cushe,pcushe1s@jalbum.net,2022,Computer science,
66,Cher Artinstall,cartinstall1t@weebly.com,2024,cse,6941055233
67,Noelyn Whymark,nwhymark1u@discovery.com,2023,cse,9891195821
68,Erin Counsell,ecounsell1v@trellian.com,2021,CSE,2394446496
